Filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0100.a1.txt,1533.05,1223.63,801.69,534.46,0,0,0
0101.a1.txt,1166.88,1242.16,589.71,840.65,1,0,0
0102.a1.txt,1485.03,1197.6,682.63,479.04,1,0,0
0103.a1.txt,1097.56,1363.64,598.67,576.5,1,0,1
0104.a1.txt,1320.99,1197.53,567.9,679.01,0,1,2
0105.a1.txt,1251.55,1400.25,619.58,644.36,2,0,2
0106.a1.txt,1541.31,1294.7,838.47,875.46,1,0,0
0107.a1.txt,1211.7,1448.47,891.36,612.81,0,0,0
0108.a1.txt,1248.36,1327.2,446.78,630.75,1,0,0
0109.a1.txt,1295.22,1353.56,711.79,676.78,0,0,0
0110.a1.txt,1437.74,1399.23,834.4,667.52,1,0,0
0111.a1.txt,1432.16,1381.91,703.52,716.08,0,0,1
0112.a1.txt,1314.22,1278.38,788.53,681.0,0,0,1
0113.a1.txt,1349.51,1281.27,735.41,894.62,0,0,2
0114.a1.txt,1196.91,1531.53,617.76,913.77,0,0,0
0115.a1.txt,1377.95,1154.86,813.65,800.52,0,0,1
0116.a1.txt,1338.24,1426.47,632.35,852.94,0,0,0
0118.a1.txt,1304.35,1317.52,632.41,658.76,0,0,1
0119.a1.txt,1272.04,1385.39,793.45,730.48,0,0,0
0120.a1.txt,1293.66,1474.77,672.7,827.94,3,0,0
0121.a1.txt,1386.93,1366.83,703.52,633.17,0,0,2
0122.a1.txt,1548.95,1400.25,693.93,706.32,0,0,1
0123.a1.txt,1245.24,1359.59,597.2,775.1,1,0,0
0124.a1.txt,1631.75,1069.46,738.7,595.37,0,3,3
0125.a1.txt,1828.84,1113.72,844.08,586.17,0,1,0
0127.a1.txt,1141.3,1426.63,611.41,855.98,0,0,0
0128.a1.txt,1362.53,1216.55,644.77,729.93,0,0,0
0130.a1.txt,1401.03,1131.11,874.04,681.23,1,0,1
0131.a1.txt,1374.35,1479.06,785.34,510.47,0,0,0
0133.a1.txt,1108.46,1370.68,560.19,822.41,0,0,0
0134.a1.txt,1355.93,1246.97,726.39,1162.23,0,0,0
0135.a1.txt,1551.48,902.68,846.26,648.8,0,0,4
0136.a1.txt,1491.53,1209.04,553.67,655.37,0,1,0
0137.a1.txt,1109.73,1234.41,822.94,847.88,0,0,2
0138.a1.txt,1370.87,1272.95,758.87,722.15,1,0,0
0139.a1.txt,1078.68,1573.6,532.99,685.28,0,0,0
0140.a1.txt,1457.7,1314.98,795.11,509.68,5,0,0
0142.a1.txt,1576.82,1307.28,768.19,336.93,0,0,3
0143.a1.txt,1435.64,1287.13,668.32,705.45,1,0,1
0144.a1.txt,1125.32,1253.2,677.75,792.84,1,0,3
0145.a1.txt,1602.41,1180.72,674.7,734.94,0,0,0
0146.a1.txt,1171.17,1544.4,566.28,643.5,0,0,0
0148.a1.txt,1382.01,1199.48,912.65,704.04,0,0,0
0149.a1.txt,1243.93,1243.93,738.58,738.58,1,0,0
0151.a1.txt,968.17,1578.25,530.5,742.71,1,0,0
0152.a1.txt,1389.5,1258.21,733.04,678.34,0,0,0
0155.a1.txt,1028.15,1554.47,734.39,820.07,0,0,0
0156.a1.txt,968.17,1485.41,636.6,755.97,1,0,0
0157.a1.txt,1131.22,1572.4,542.99,486.43,0,0,0
0158.a1.txt,1181.49,1522.53,633.37,645.55,0,0,0
0159.a1.txt,1088.27,1378.48,568.32,737.61,0,0,1
0161.a1.txt,1493.67,1202.53,886.08,468.35,0,0,0
0162.a1.txt,1210.27,1259.17,660.15,611.25,0,0,1
0163.a1.txt,1356.59,1124.03,568.48,956.07,0,0,0
0164.a1.txt,1622.97,1186.02,699.13,574.28,0,0,0
0165.a1.txt,1472.87,1107.42,675.53,553.71,1,0,0
0167.a1.txt,1268.5,1173.36,634.25,940.8,1,0,2
0168.a1.txt,1387.5,1337.5,587.5,875.0,0,0,0
0169.a1.txt,1395.91,1323.71,661.85,553.55,0,0,2
0171.a1.txt,1386.6,1351.35,611.05,705.05,0,1,1
0172.a1.txt,1319.8,1142.13,761.42,710.66,12,0,0
0173.a1.txt,1315.47,1254.57,730.82,609.01,4,0,3
0174.a1.txt,1388.89,1570.05,591.79,519.32,2,0,0
0175.a1.txt,1105.53,1407.04,628.14,753.77,0,0,1
0176.a1.txt,1408.14,1243.12,649.06,682.07,0,0,1
0177.a1.txt,1009.62,1370.19,697.12,625.0,1,0,0
0178.a1.txt,1275.3,1072.87,678.14,860.32,0,0,1
0179.a1.txt,1191.71,1424.87,544.04,556.99,0,0,0
0180.a1.txt,1251.56,1451.81,688.36,738.42,0,0,3
0182.a1.txt,1603.42,1356.74,654.65,626.19,5,0,1
0185.a1.txt,1548.95,1065.68,743.49,532.84,1,0,1
0186.a1.txt,1234.26,1448.36,478.59,793.45,2,0,1
0187.a1.txt,1298.7,1428.57,753.25,753.25,0,0,1
0188.a1.txt,1138.31,1297.43,648.71,673.19,1,0,2
0189.a1.txt,1185.81,1297.85,625.58,522.88,1,0,1
0190.a1.txt,1189.54,1464.05,588.24,522.88,1,1,1
0191.a1.txt,1257.49,1365.27,754.49,682.63,0,0,2
0192.a1.txt,935.18,1360.26,712.01,690.75,0,0,1
0193.a1.txt,1212.9,1458.06,787.1,541.94,0,1,1
0194.a1.txt,1109.97,1469.68,791.37,688.59,1,0,1
0195.a1.txt,1254.61,1500.62,639.61,578.11,0,0,0
0196.a1.txt,1234.29,1280.0,731.43,594.29,6,0,0
0197.a1.txt,1405.47,1281.09,671.64,572.14,0,0,0
0198.a1.txt,1317.28,1402.27,609.07,495.75,2,0,1
0199.a1.txt,1388.54,1464.97,522.29,700.64,5,0,0
0200.a1.txt,1261.17,1320.75,774.58,705.06,3,1,1
0201.a1.txt,1079.62,1417.0,607.29,688.26,2,0,0
0202.a1.txt,1502.96,1171.6,627.22,568.05,0,0,1
0203.a1.txt,1487.7,1252.8,626.4,503.36,4,0,1
